sample,dist_cm,proc_us,e2e_us,mode,agree
1,60,7,5752,Q,4
2,78,6,6814,Q,4
3,78,7,6816,Q,8
4,78,6,6830,Q,4
5,78,6,6820,Q,3
6,77,6,6752,Q,4
7,77,7,6733,Q,4
8,75,6,6613,Q,4
9,78,6,6795,Q,4
10,79,7,6841,Q,4
11,89,7,7421,Q,4
12,89,6,7456,Q,3
13,90,6,7487,Q,3
14,71,8,6415,Q,4
15,72,6,6439,Q,4
