sample,dist_cm,proc_us,e2e_us,mode,agree
1,95,5,7806,W,4
2,94,5,7716,W,5
3,92,6,7618,W,4
4,93,5,7659,W,6
5,93,5,7654,W,5
6,93,6,7691,W,4
7,90,6,7505,W,5
8,90,5,7516,W,7
9,91,6,7557,W,3
10,78,5,6786,W,2
11,88,5,7408,W,4
12,88,6,7378,W,5
13,89,6,7425,W,5
14,88,5,7355,W,9
15,87,5,7345,W,5
